,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
31,baseline_sentiword,peak,148,She looked at us all radiantly.,0.04658618641792329,26,6,She looked at us all radiantly.
62,baseline_vader,peak,150,"""We ought to plan something,"" yawned Miss Baker, sitting down at the table as if she were getting into bed.",0.08408462170670948,27,20,"""We ought to plan something,"" yawned Miss Baker, sitting down at the table as if she were getting in"
180,sentimentr_jockers,peak,151,"""All right,"" said Daisy.",0.89283198075456,35,4,"""All right,"" said Daisy."
135,baseline_flair,valley,153,She turned to me helplessly.,0.1297681502659822,27,5,She turned to me helplessly.
150,baseline_stanza,peak,157,"""I hurt it.""",0.17827082829487373,27,3,"""I hurt it."""
0,baseline_sentimentr,peak,158,We all looked the knuckle was black and blue.,0.1583317738770585,27,9,We all looked the knuckle was black and blue.
236,syuzhetr_syuzhet,peak,158,We all looked the knuckle was black and blue.,2.485883325893371,51,9,We all looked the knuckle was black and blue.
120,baseline_flair,peak,159,"""You did it, Tom,"" she said accusingly.",0.15147328442060204,27,7,"""You did it, Tom,"" she said accusingly."
297,transformer_huggingface,peak,159,"""You did it, Tom,"" she said accusingly.",1.5311266340997538,41,7,"""You did it, Tom,"" she said accusingly."
267,transformer_roberta15lg,peak,159,"""You did it, Tom,"" she said accusingly.",1.4168568646340582,40,7,"""You did it, Tom,"" she said accusingly."
208,sentimentr_jockers,peak,161,"""I hate that word hulking,"" objected Tom crossly, ""even in kidding.""",1.341887863799971,39,11,"""I hate that word hulking,"" objected Tom crossly, ""even in kidding."""
91,baseline_textblob,peak,162,"""Hulking,"" insisted Daisy.",0.05492638500527129,26,3,"""Hulking,"" insisted Daisy."
47,baseline_sentiword,valley,193,"As if his absence quickened something within her Daisy leaned forward again, her voice glowing and singing.",-0.07352455709683944,25,17,"As if his absence quickened something within her Daisy leaned forward again, her voice glowing and s"
194,sentimentr_jockers,valley,217,"""She might have the decency not to telephone him at dinner-time. Don't you think?""",-0.299621131020039,23,14,"""She might have the decency not to telephone him at dinner-time. Don't you think?"""
106,baseline_textblob,valley,224,I couldn't guess what Daisy and Tom were thinking but I doubt if even Miss Baker who seemed to have mastered a certain hardy skepticism was able utterly to put this fifth guest's shrill metallic urgency out of mind.,-0.03343110279791808,25,39,I couldn't guess what Daisy and Tom were thinking but I doubt if even Miss Baker who seemed to have 
76,baseline_vader,valley,230,"I saw that turbulent emotions possessed her, so I asked what I thought would be some sedative questions about her little girl.",-0.04499068591957961,25,22,"I saw that turbulent emotions possessed her, so I asked what I thought would be some sedative questi"
222,sentimentr_jockers,valley,230,"I saw that turbulent emotions possessed her, so I asked what I thought would be some sedative questions about her little girl.",0.08275070855026562,27,22,"I saw that turbulent emotions possessed her, so I asked what I thought would be some sedative questi"
15,baseline_sentimentr,valley,249,"The instant her voice broke off, ceasing to compel my attention, my belief, I felt the basic insincerity of what she had said.",-0.07278672271565528,25,23,"The instant her voice broke off, ceasing to compel my attention, my belief, I felt the basic insince"
251,syuzhetr_syuzhet,valley,249,"The instant her voice broke off, ceasing to compel my attention, my belief, I felt the basic insincerity of what she had said.",0.2246345418994163,28,23,"The instant her voice broke off, ceasing to compel my attention, my belief, I felt the basic insince"
164,baseline_stanza,valley,257,"""Ten o'clock,"" she remarked, apparently finding the time on the ceiling.",-0.06322315976060672,25,11,"""Ten o'clock,"" she remarked, apparently finding the time on the ceiling."
311,transformer_huggingface,valley,272,"""They oughtn't to let her run around the country this way.""",0.5044177407911173,31,11,"""They oughtn't to let her run around the country this way."""
283,transformer_roberta15lg,valley,283,"""I can't seem to remember, but I think we talked about the Nordic race. Yes, I' sure we did. It sort of crept up on us and first thing you know """,-0.44560894597577444,21,32,"""I can't seem to remember, but I think we talked about the Nordic race. Yes, I' sure we did. It sort"
136,baseline_flair,valley,300,Something was making him nibble at the edge of stale ideas as if his sturdy physical egotism no longer nourished his peremptory heart.,0.0020013796135813083,26,23,Something was making him nibble at the edge of stale ideas as if his sturdy physical egotism no long
1,baseline_sentimentr,peak,319,There is always a halt there of at least a minute and it was because of this that I first met Tom Buchanan's mistress.,-0.026342735711718433,25,24,There is always a halt there of at least a minute and it was because of this that I first met Tom Bu
237,syuzhetr_syuzhet,peak,319,There is always a halt there of at least a minute and it was because of this that I first met Tom Buchanan's mistress.,0.5023317609863924,31,24,There is always a halt there of at least a minute and it was because of this that I first met Tom Bu
268,transformer_roberta15lg,peak,320,The fact that he had one was insisted upon wherever he was known.,-0.20837147417634888,24,13,The fact that he had one was insisted upon wherever he was known.
181,sentimentr_jockers,peak,321,"His acquaintances resented the fact that he turned up in popular restaurants with her and, leaving her at a table, sauntered about, chatting with whomsoever he knew.",0.46977498808272034,30,27,"His acquaintances resented the fact that he turned up in popular restaurants with her and, leaving h"
209,sentimentr_jockers,peak,321,"His acquaintances resented the fact that he turned up in popular restaurants with her and, leaving her at a table, sauntered about, chatting with whomsoever he knew.",0.4625999649582739,30,27,"His acquaintances resented the fact that he turned up in popular restaurants with her and, leaving h"
92,baseline_textblob,peak,338,"""How's business?""",0.10858969824664359,27,2,"""How's business?"""
63,baseline_vader,peak,338,"""How's business?""",0.05538981112719993,26,2,"""How's business?"""
32,baseline_sentiword,peak,371,"At the news-stand she bought a copy of ""Town Tattle"" and a moving-picture magazine and, in the station drug store, some cold cream and a small flask of perfume.",0.09199043435503702,27,29,"At the news-stand she bought a copy of ""Town Tattle"" and a moving-picture magazine and, in the stati"
121,baseline_flair,peak,386,"""Look at that coat. Some coat. That's a dog that' never bother you with catching cold.""",0.1046332967254381,27,16,"""Look at that coat. Some coat. That's a dog that' never bother you with catching cold."""
298,transformer_huggingface,peak,386,"""Look at that coat. Some coat. That's a dog that' never bother you with catching cold.""",0.8449996088305743,34,16,"""Look at that coat. Some coat. That's a dog that' never bother you with catching cold."""
252,syuzhetr_syuzhet,valley,401,"""Come on,"" she urged.",-0.5854896761889078,20,4,"""Come on,"" she urged."
16,baseline_sentimentr,valley,402,"""I' telephone my sister Catherine. She's said to be very beautiful by people who ought to know.""",-0.08233252241606924,25,17,"""I' telephone my sister Catherine. She's said to be very beautiful by people who ought to know."""
77,baseline_vader,valley,402,"""I' telephone my sister Catherine. She's said to be very beautiful by people who ought to know.""",-0.04034182704397217,25,17,"""I' telephone my sister Catherine. She's said to be very beautiful by people who ought to know."""
165,baseline_stanza,valley,405,At th Street the cab stopped at one slice in a long white cake of apartment houses.,0.08167453486364565,27,17,At th Street the cab stopped at one slice in a long white cake of apartment houses.
312,transformer_huggingface,valley,419,"When I came back they had disappeared so I sat down discreetly in the living room and read a chapter of ""Simon Called Peter"" either it was terrible stuff or the whiskey distorted things because it didn't make any sense to me.",0.06462128985336359,26,42,When I came back they had disappeared so I sat down discreetly in the living room and read a chapter
48,baseline_sentiword,valley,431,"Mrs. Wilson had changed her costume some time before and was now attired in an elaborate afternoon dress of cream colored chiffon, which gave out a continual rustle as she swept about the room.",0.020256872350987144,26,34,Mrs. Wilson had changed her costume some time before and was now attired in an elaborate afternoon d
151,baseline_stanza,peak,443,"""If Chester could only get you in that pose I think he could make something of it.""",0.2484918971984125,28,17,"""If Chester could only get you in that pose I think he could make something of it."""
195,sentimentr_jockers,valley,452,"""Get some more ice and mineral water, Myrtle, before everybody goes to sleep.""",-0.4608291947608037,21,13,"""Get some more ice and mineral water, Myrtle, before everybody goes to sleep."""
223,sentimentr_jockers,valley,452,"""Get some more ice and mineral water, Myrtle, before everybody goes to sleep.""",-0.6511321324685206,19,13,"""Get some more ice and mineral water, Myrtle, before everybody goes to sleep."""
