,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale
0,1,"0,""It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.""",2.25,2,6,2,121,23,is a truth universally acknowledged that a single man in possession of a good fortune must be in want of a wife,1.4678015568075191,2.0,0.9127527502088739,1.4733164397722378,1.3001702680150182,2.0,0.7823418852252623,1.8261625380269448,1.8307789362520477,3.0,1.0402596360582488,2.3919301375471456,0.9085672170502831,2.0,0.5864868020569165,1.2172968274663192,,,,,,,,,
1,2,"1,""However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters.""",2.55,2,2,2,264,48,little known the feelings or views of such a man may be on his first entering a neighbourhood this truth is so well fixed in the minds of the surrounding families that he is considered as the rightful property of some one or other of their daughters,1.7156714982185497,2.3,0.371283608042499,0.6987449209638191,1.3001702680150182,2.0,0.3106706672782914,0.8752343261820456,0.4240854820377771,1.0,0.012845625736554468,0.3821308926262572,0.9085672170502831,2.0,0.11952760323549404,0.5834201208081651,,,,,,,,,
2,3,"2,""My dear Mr. Bennet, said his lady to him one day, have you heard that Netherfield Park is let at last?""",0.5,0,2,1,106,21,dear mr bennet said his lady to him one day have you heard that netherfield park is let at last,0.021893565243174193,0.25,0.015928804429548495,0.19040993284407848,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.4240854820377771,1.0,0.26388547502040194,0.8732081939546219,0.2438417481427797,1.0,0.18079456151977458,0.6665873393622086,,,,,,,,,
3,4,"3,Mr. Bennet replied that he had not.",0.0,0,0,0,37,7,bennet replied that he had not,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
4,5,"4,""But it is, returned she; for Mrs. Long has just been here, and she told me all about it.""",0.0,0,0,0,92,19,it is returned she for mrs long has just been here and she told me all about it,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
5,6,"5,Mr. Bennet made no answer.",0.0,0,-1,0,28,5,bennet made no answer,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.6309346086229259,-0.5,-1.118485674467905,-1.8309485184617371,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
6,7,"6,Do not you want to know who has taken it?",0.0,0,1,0,43,10,not you want to know who has taken it,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.07241211848420942,0.5,0.2859595101195183,0.9163888189303999,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
7,8,"7,cried his wife impatiently.",-1.8,-1,-2,0,29,4,his wife impatiently,-1.8784426522413935,-2.05,-5.7136781353304364,-8.00579185207962,-0.9117963421726424,-1.0,-2.7222583064847887,-5.239401496259352,-0.9826079721764936,-1.0,-2.5212962703035133,-4.5750883179517725,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
8,9,"8,""_You_ want to tell me, and I have no objection to hearing it.""",-0.25,-1,0,-2,65,13,want to tell me and i have no objection to hearing it,-0.5977812882844022,-0.5,-0.505473467713181,-0.5554559316961043,-0.9117963421726424,-1.0,-0.9244700618358882,-1.6149116064565718,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-1.7503346585797308,-2.0,-1.8962863727246424,-2.1529592621060725,,,,,,,,,
9,10,"9,This was invitation enough.",0.0,1,0,1,29,4,was invitation enough,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,0.5628480646191314,1.0,2.475347263044587,5.239401496259352,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.2438417481427797,1.0,2.2625789712334416,3.492518703241896,,,,,,,,,
