,sent_no,sent_raw,jockers_rinker,jockers,huliu,lmcd,nrc,senticnet,sentiword,sent_clean,char_len,token_len,jockers_rinker_stdscaler,jockers_rinker_medianiqr,jockers_rinker_lnorm_stdscaler,jockers_rinker_lnorm_medianiqr,jockers_stdscaler,jockers_medianiqr,jockers_lnorm_stdscaler,jockers_lnorm_medianiqr,huliu_stdscaler,huliu_medianiqr,huliu_lnorm_stdscaler,huliu_lnorm_medianiqr,senticnet_stdscaler,senticnet_medianiqr,senticnet_lnorm_stdscaler,senticnet_lnorm_medianiqr,sentiword_stdscaler,sentiword_medianiqr,sentiword_lnorm_stdscaler,sentiword_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,lmcd_stdscaler,lmcd_medianiqr,lmcd_lnorm_stdscaler,lmcd_lnorm_medianiqr,jockers_rinker_stdscaler_roll10,jockers_stdscaler_roll10,huliu_stdscaler_roll10,senticnet_stdscaler_roll10,sentiword_stdscaler_roll10,nrc_stdscaler_roll10,lmcd_stdscaler_roll10,lmcd_stdscaler_roll10_mean,mean_stdscaler_roll10,jockers_rinker_roll100,jockers_roll100,huliu_roll100,senticnet_roll100,sentiword_roll100,nrc_roll100,lmcd_roll100
0,1,mrs  dalloway said she would buy the flowers herself,0.0,0.0,0.0,0.0,0.0,0.0106666666666667,0.0416666666666667,mrs  dalloway said she would buy the flowers herself,52,9,-0.04933289091285801,0.0,-0.014438809436928645,0.0,-0.10781906166902996,0.0,-0.04181178868421438,0.0,0.022795278530988082,0.0,0.016712320973781218,0.0,-0.1897631235346978,-0.07166426555508788,-0.04897800854878069,-0.04728060428481559,0.14800460563978407,0.25605891880738374,0.11688488545668636,0.4739772139959429,-0.16559435224170865,0.0,-0.052684184477489154,0.0,0.12405768268172182,0.0,0.0529498308011938,0.0,,,,,,,,,,,,,,,,
1,2,for lucy had her work cut out for her,0.0,0.0,0.33333333333333304,-0.33333333333333304,0.0,-0.0926666666666667,0.03125,for lucy had her work cut out for her,37,9,-0.04933289091285801,0.0,-0.014438809436928645,0.0,-0.10781906166902996,0.0,-0.04181178868421438,0.0,1.0183090955187422,2.758769104538716,0.621110128700626,20.768235743851985,-0.4856712558099365,-0.3304035051050364,-0.23185127960804364,-0.5212903046769148,0.08708882285337222,0.19204418910553764,0.07306987505612016,0.3554829104969569,-0.16559435224170865,0.0,-0.052684184477489154,0.0,-1.649165515927257,-0.33333333333333304,-0.7341407018063123,-0.03703703703703701,,,,,,,,,,,,,,,,
2,3,the doors would be taken off their hinges  rumpelmayer own men were coming,-0.291217603018245,0.0,-0.291217603018245,0.0,0.0,0.0529738687395094,-0.127118794968282,the doors would be taken off their hinges  rumpelmayer own men were coming,74,13,-1.0974530774463225,-1.200246050296656,-0.43266386924448813,-2.481152033638283,-0.10781906166902996,0.0,-0.04181178868421438,0.0,-0.8469381641331656,-2.410206377713667,-0.34884956999266015,-12.561388266965023,-0.06861107372341411,0.034269927591492624,-0.0029513720773376413,0.0720209865792458,-0.8390384521322564,-0.781197628792218,-0.42854673950152405,-1.00110038874515,-0.16559435224170865,0.0,-0.052684184477489154,0.0,0.12405768268172182,0.0,0.0529498308011938,0.0,,,,,,,,,,,,,,,,
3,4,and then  thought clarissa dalloway  what a morning  fresh as if issued to children on a beach,0.121267812518166,0.121267812518166,0.24253562503633302,0.0,0.0,0.328878307549268,0.018190171877725,and then  thought clarissa dalloway  what a morning  fresh as if issued to children on a beach,94,17,0.38712163985629416,0.499802249227102,0.11873916450005802,0.7900884777722926,0.35789779509471337,0.5744476788825623,0.09686727841614243,0.9329029084466389,0.7471379760372805,2.0072993673006687,0.24952855637529509,8.000000000000034,0.7214763505473293,0.7251148116504494,0.24027803345443013,0.7024745076151282,0.010716056153432258,0.11178613785433768,-0.017868672587392054,0.10954664879774531,-0.16559435224170865,0.0,-0.052684184477489154,0.0,0.12405768268172182,0.0,0.0529498308011938,0.0,,,,,,,,,,,,,,,,
4,5,what a lark,0.0,0.0,0.0,0.0,0.0,0.0,-0.0721687836487032,what a lark,11,3,-0.04933289091285801,0.0,-0.014438809436928645,0.0,-0.10781906166902996,0.0,-0.04181178868421438,0.0,0.022795278530988082,0.0,0.016712320973781218,0.0,-0.22030847912439994,-0.09837283221830843,-0.06785524943231756,-0.09621063787367758,-0.5176954485814412,-0.4435070571055421,-0.9690530459208491,-2.4628578488127557,-0.16559435224170865,0.0,-0.052684184477489154,0.0,0.12405768268172182,0.0,0.0529498308011938,0.0,,,,,,,,,,,,,,,,
5,6,what a plunge,-0.23094010767585002,-0.23094010767585002,0.0,0.0,-0.577350269189626,0.06177647880329,0.0,what a plunge,13,3,-0.8805085692598345,-0.9518138643413586,-1.4516278294545946,-8.526233366743343,-0.9947213551474897,-1.0939671959153057,-1.538365810727145,-10.067414131081742,0.022795278530988082,0.0,0.016712320973781218,0.0,-0.04340368111257022,0.05631103050075697,0.2601299143726106,0.7539308198019261,-0.09565852550586278,0.0,-0.05837515614557813,0.0,-1.9950822174675553,-2.581988897471612,-3.8042916990332385,-31.62277660168387,0.12405768268172182,0.0,0.0529498308011938,0.0,,,,,,,,,,,,,,,,
6,7,for so it had always seemed to her  when  with a little squeak of the hinges  which she could hear now  she had burst open the french windows and plunged at bourton into the open air,-0.0333333333333333,0.0,-0.0333333333333333,0.0,0.0,0.118333333333333,-0.232638888888889,for so it had always seemed to her  when  with a little squeak of the hinges  which she could hear now  she had burst open the french windows and plunged at bourton into the open air,182,36,-0.1693027663222322,-0.13738249769897537,-0.03172550667825311,-0.10255464853047581,-0.10781906166902996,0.0,-0.04181178868421438,0.0,-0.07675610316778732,-0.2758769104538715,0.0016023757806101033,-0.5192058935962995,0.11855405944885608,0.19792532920179287,-0.015500401669383585,0.039493752157931016,-1.456111007735724,-1.4296622966745587,-0.30300896421540563,-0.6615931945360035,-0.16559435224170865,0.0,-0.052684184477489154,0.0,0.12405768268172182,0.0,0.0529498308011938,0.0,,,,,,,,,,,,,,,,
7,8,how fresh  how calm  stiller than this of course  the air was in the early morning  like the flap of a wave  the kiss of a wave  chill and sharp and yet  for a girl of eighteen as she then was  solemn  feeling as she did  standing there at the open window  that something awful was about to happen  looking at the flowers  at the trees with the smoke winding off them and the rooks rising  falling  standing and looking until peter walsh said   musing among the vegetables    was that it    i prefer men to cauliflowers   was that it  he must have said it at breakfast one morning when she had gone out on to the terrace  peter walsh,0.192506684375924,0.10083683467310302,0.0,0.0,0.366679398811285,0.0826862044319447,-0.145907844110324,how fresh  how calm  stiller than this of course  the air was in the early morning  like the flap of a wave  the kiss of a wave  chill and sharp and yet  for a girl of eighteen as she then was  solemn  feeling as she did  standing there at the open window  that something awful was about to happen  looking at the flowers  at the trees with the smoke winding off them and the rooks rising  falling  standing and looking until peter walsh said   musing among the vegetables    was that it    i prefer men to cauliflowers   was that it  he must have said it at breakfast one morning when she had gone out on to the terrace  peter walsh,633,119,0.6435171972886824,0.7934114736993835,0.015763116204389273,0.17917522507912068,0.27943467627505914,0.4776657912844881,-0.02533826395124367,0.11081844907879738,0.022795278530988082,0.0,0.016712320973781218,0.0,0.01647397556965139,0.10866748058162326,-0.05678803310674137,-0.06752428111812483,-0.9489152172170414,-0.8966641154017398,-0.10479122339798463,-0.12552866038267382,0.9963268355584554,1.6398401233815776,0.007383214743184225,0.5063157431127081,0.12405768268172182,0.0,0.0529498308011938,0.0,,,,,,,,,,,,,,,,
8,9,he would be back from india one of these days  june or july  she forgot which  for his letters were awfully dull  it was his sayings one remembered  his eyes  his pocket knife  his smile  his grumpiness and  when millions of things had utterly vanished  how strange it was   a few sayings like this about cabbages,-0.514477890681417,-0.374165738677394,-0.6481085116376291,0.0,-0.13363062095621198,-0.177862356492718,0.0922687620888132,he would be back from india one of these days  june or july  she forgot which  for his letters were awfully dull  it was his sayings one remembered  his eyes  his pocket knife  his smile  his grumpiness and  when millions of things had utterly vanished  how strange it was   a few sayings like this about cabbages,313,56,-1.900988344290677,-2.1204077289814065,-0.1859586918699658,-1.0175547713567143,-1.544765008883313,-1.7724294323228633,-0.17170614437197693,-0.8738075958084095,-1.912807656196899,-5.36394521488339,-0.1721504436204701,-6.489676779406391,-0.7296399408518144,-0.5437273889617376,-0.118443343620887,-0.22733558156192302,0.44392136595396825,0.567029747043773,0.003998805457481953,0.16868555020431047,-0.5890385117207243,-0.5976143046671959,-0.09920177791633002,-0.39210270788110724,0.12405768268172182,0.0,0.0529498308011938,0.0,,,,,,,,,,,,,,,,
9,10,she stiffened a little on the kerb  waiting for durtnall own van to pass,-0.0320713490294909,-0.0320713490294909,0.0,0.0,0.0,0.12192457856044801,-0.0489978943506111,she stiffened a little on the kerb  waiting for durtnall own van to pass,72,14,-0.16476076333121545,-0.13218126102741223,-0.05720740349815345,-0.253727942987648,-0.2309858571445399,-0.1519225227705311,-0.08634699634859008,-0.2995911757057403,0.022795278530988082,0.0,0.016712320973781218,0.0,0.12883804655561062,0.2069175491285779,0.07085722881757239,0.26333376068727044,-0.38219405407418655,-0.30111234843014123,-0.19086605389552633,-0.3583113756063971,-0.16559435224170865,0.0,-0.052684184477489154,0.0,0.12405768268172182,0.0,0.0529498308011938,0.0,,,,,,,,,,,,,,,,
