,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,The sun had not yet risen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"The sea was indistinguishable from the sky, except that the sea was slightly creased as if a cloth had wrinkles in it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"Gradually as the sky whitened a dark line lay on the horizon dividing the sea from the sky and the grey cloth became barred with thick strokes moving, one after another, beneath the surface, following each other, pursuing each other, perpetually.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"As they neared the shore each bar rose, heaped itself, broke and swept a thin veil of white water across the sand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"The wave paused, and then drew out again, sighing like a sleeper whose breath comes and goes unconsciously.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Gradually the dark bar on the horizon became clear as if the sediment in an old wine-bottle had sunk and left the glass green.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,"Behind it, too, the sky cleared as if the white sediment there had sunk, or as if the arm of a woman couched beneath the horizon had raised a lamp and flat bars of white, green and yellow spread across the sky like the blades of a fan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Then she raised her lamp higher and the air seemed to become fibrous and to tear away from the green surface flickering and flaming in red and yellow fibres like the smoky fire that roars from a bonfire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,"Gradually the fibres of the burning bonfire were fused into one haze, one incandescence which lifted the weight of the woollen grey sky on top of it and turned it to a million atoms of soft blue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,The surface of the sea slowly became transparent and lay rippling and sparkling until the dark stripes were almost rubbed out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,"Slowly the arm that held the lamp raised it higher and then higher until a broad flame became visible; an arc of fire burnt on the rim of the horizon, and all round it the sea blazed gold.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,"The light struck upon the trees in the garden, making one leaf transparent and then another.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,One bird chirped high up; there was a pause; another chirped lower down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,"The sun sharpened the walls of the house, and rested like the tip of a fan upon a white blind and made a blue finger-print of shadow under the leaf by the bedroom window.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,"The blind stirred slightly, but all within was dim and unsubstantial.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,The birds sang their blank melody outside.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,"'I see a ring,' said Bernard, 'hanging above me. It quivers and hangs in a loop of light.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,"'I see a slab of pale yellow,' said Susan, 'spreading away until it meets a purple stripe.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,"'I hear a sound,' said Rhoda, 'cheep, chirp; cheep chirp; going up and down.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
