"","sent_raw","syuzhet","bing","afinn","nrc"
"1","0,The Cyclone",-0.25,0,0,-1
"2","1,""Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmers wife.""",0.75,1,3,1
"3","2,""Their house was small, for the lumber to build it had to be carried by wagon many miles.""",0.1,0,0,0
"4","3,""There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove, a cupboard for the dishes, a table, three or four chairs, and the beds.""",-0.25,-1,0,-1
"5","4,""Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.""",0.5,0,1,1
"6","5,""There was no garret at all, and no cellarexcept a small hole dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path.""",0.85,2,1,-1
"7","6,""It was reached by a trap door in the middle of the floor, from which a ladder led down into the small, dark hole.""",-0.7,-1,0,-1
"8","7,""When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side.""",0.5,1,2,0
"9","8,Not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions.",-0.75,-1,0,1
"10","9,""The sun had baked the plowed land into a gray mass, with little cracks running through it.""",0,-1,-1,2
"11","10,""Even the grass was not green, for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere.""",0,0,1,2
"12","11,""Once the house had been painted, but the sun blistered the paint and the rains washed it away, and now the house was as dull and gray as everything else.""",-0.15,-1,-3,0
"13","12,""When Aunt Em came there to live she was a young, pretty wife.""",1.4,1,1,3
"14","13,""The sun and wind had changed her, too.""",0.6,0,0,1
"15","14,""They had taken the sparkle from her eyes and left them a sober gray; they had taken the red from her cheeks and lips, and they were gray also.""",0,0,2,1
"16","15,""She was thin and gaunt, and never smiled now.""",0,0,2,-1
"17","16,""When Dorothy, who was an orphan, first came to her, Aunt Em had been so startled by the childs laughter that she would scream and press her hand upon her heart whenever Dorothys merry voice reached her ears; and she still looked at the little girl with wonder that she could find anything to laugh at.""",0.45,0,1,2
"18","17,Uncle Henry never laughed.",0.8,0,1,0
"19","18,He worked hard from morning till night and did not know what joy was.",0.75,1,2,1
"20","19,""He was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.""",-1.25,-3,-2,-2
"21","20,""It was Toto that made Dorothy laugh, and saved her from growing as gray as her other surroundings.""",2.1,0,3,1
"22","21,""Toto was not gray; he was a little black dog, with long silky hair and small black eyes that twinkled merrily on either side of his funny, wee nose.""",1.55,0,3,-2
"23","22,""Toto played all day long, and Dorothy played with him, and loved him dearly.""",1,1,6,0
"24","23,""Today, however, they were not playing.""",0,0,0,0
"25","24,""Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.""",-0.6,-1,0,2
"26","25,""Dorothy stood in the door with Toto in her arms, and looked at the sky too.""",0,0,0,1
"27","26,Aunt Em was washing the dishes.",0.25,0,0,1
"28","27,""From the far north they heard a low wail of the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm.""",-1.25,-1,0,-2
"29","28,""There now came a sharp whistling in the air from the south, and as they turned their eyes that way they saw ripples in the grass coming from that direction also.""",0,1,0,0
"30","29,Suddenly Uncle Henry stood up.",0,0,0,0
"31","30,""Theres a cyclone coming, Em, he called to his wife.""",-0.25,0,0,-1
"32","31,Ill go look after the stock.",-0.5,0,-2,-1
"33","32,Then he ran toward the sheds where the cows and horses were kept.",0,0,0,0
"34","33,Aunt Em dropped her work and came to the door.",0.5,1,-1,1
"35","34,One glance told her of the danger close at hand.",-0.75,-1,-2,-1
"36","35,""Quick, Dorothy! she screamed.""",-0.6,0,-2,0
"37","36,Run for the cellar!",0,0,0,0
"38","37,""Toto jumped out of Dorothys arms and hid under the bed, and the girl started to get him.""",0,0,-1,0
"39","38,""Aunt Em, badly frightened, threw open the trap door in the floor and climbed down the ladder into the small, dark hole.""",-2.1,-3,-6,-2
"40","39,Dorothy caught Toto at last and started to follow her aunt.",0.25,0,0,1
"41","40,""When she was halfway across the room there came a great shriek from the wind, and the house shook so hard that she lost her footing and sat down suddenly upon the floor.""",-1.25,-2,-1,-3
"42","41,Then a strange thing happened.",-0.5,-1,-1,0
"43","42,The house whirled around two or three times and rose slowly through the air.",-0.25,-1,1,0
"44","43,Dorothy felt as if she were going up in a balloon.",0,0,0,0
"45","44,""The north and south winds met where the house stood, and made it the exact center of the cyclone.""",0,0,0,0
"46","45,""In the middle of a cyclone the air is generally still, but the great pressure of the wind on every side of the house raised it up higher and higher, until it was at the very top of the cyclone; and there it remained and was carried miles and miles away as easily as you could carry a feather.""",-0.25,2,4,-1
"47","46,""It was very dark, and the wind howled horribly around her, but Dorothy found she was riding quite easily.""",-0.5,-1,0,0
"48","47,""After the first few whirls around, and one other time when the house tipped badly, she felt as if she were being rocked gently, like a baby in a cradle.""",0.95,0,-1,1
"49","48,Toto did not like it.",0.5,1,2,0
"50","49,""He ran about the room, now here, now there, barking loudly; but Dorothy sat quite still on the floor and waited to see what would happen.""",0,0,0,0
"51","50,""Once Toto got too near the open trap door, and fell in; and at first the little girl thought she had lost him.""",-1.75,-3,-4,-2
"52","51,""But soon she saw one of his ears sticking up through the hole, for the strong pressure of the air was keeping him up so that he could not fall.""",-0.25,0,1,-2
"53","52,""She crept to the hole, caught Toto by the ear, and dragged him into the room again, afterward closing the trap door so that no more accidents could happen.""",-2.2,-3,-5,0
"54","53,""Hour after hour passed away, and slowly Dorothy got over her fright; but she felt quite lonely, and the wind shrieked so loudly all about her that she nearly became deaf.""",-2.25,-4,-4,-3
"55","54,""At first she had wondered if she would be dashed to pieces when the house fell again; but as the hours passed and nothing terrible happened, she stopped worrying and resolved to wait calmly and see what the future would bring.""",-1.8,-3,-5,-5
"56","55,""At last she crawled over the swaying floor to her bed, and lay down upon it; and Toto followed and lay down beside her.""",0,0,0,0
"57","56,""In spite of the swaying of the house and the wailing of the wind, Dorothy soon closed her eyes and fell fast asleep.""",-2,-1,0,-2
"58","57,The Council with the Munchkins",0.4,0,0,1
"59","58,""She was awakened by a shock, so sudden and severe that if Dorothy had not been lying on the soft bed she might have been hurt.""",-2.4,-3,-6,-3
"60","59,""As it was, the jar made her catch her breath and wonder what had happened; and Toto put his cold little nose into her face and whined dismally.""",-1.5,-1,0,-1
"61","60,""Dorothy sat up and noticed that the house was not moving; nor was it dark, for the bright sunshine came in at the window, flooding the little room.""",0.4,0,3,1
"62","61,She sprang from her bed and with Toto at her heels ran and opened the door.",-0.25,0,0,0
"63","62,""The little girl gave a cry of amazement and looked about her, her eyes growing bigger and bigger at the wonderful sights she saw.""",1.6,1,4,0
"64","63,The cyclone had set the house down very gentlyfor a cyclonein the midst of a country of marvelous beauty.",1.25,2,6,1
"65","64,""There were lovely patches of greensward all about, with stately trees bearing rich and luscious fruits.""",3.1,3,5,3
"66","65,""Banks of gorgeous flowers were on every hand, and birds with rare and brilliant plumage sang and fluttered in the trees and bushes.""",1.5,2,4,2
"67","66,""A little way off was a small brook, rushing and sparkling along between green banks, and murmuring in a voice very grateful to a little girl who had lived so long on the dry, gray prairies.""",1.5,2,5,1
"68","67,""While she stood looking eagerly at the strange and beautiful sights, she noticed coming toward her a group of the queerest people she had ever seen.""",1.05,1,2,1
"69","68,They were not as big as the grown folk she had always been used to; but neither were they very small.",0.25,0,1,-1
"70","69,""In fact, they seemed about as tall as Dorothy, who was a well-grown child for her age, although they were, so far as looks go, many years older.""",0.6,1,0,1
"71","70,""Three were men and one a woman, and all were oddly dressed.""",-0.6,-1,0,0
"72","71,""They wore round hats that rose to a small point a foot above their heads, with little bells around the brims that tinkled sweetly as they moved.""",0.5,1,1,-1
"73","72,""The hats of the men were blue; the little womans hat was white, and she wore a white gown that hung in pleats from her shoulders.""",0.4,-1,0,1
"74","73,Over it were sprinkled little stars that glistened in the sun like diamonds.",1.1,1,2,1
"75","74,""The men were dressed in blue, of the same shade as their hats, and wore well-polished boots with a deep roll of blue at the tops.""",0,3,4,1
"76","75,""The men, Dorothy thought, were about as old as Uncle Henry, for two of them had beards.""",0,0,0,0
"77","76,But the little woman was doubtless much older.",0.5,1,0,1
"78","77,""Her face was covered with wrinkles, her hair was nearly white, and she walked rather stiffly.""",-0.1,-1,0,1
"79","78,""When these people drew near the house where Dorothy was standing in the doorway, they paused and whispered among themselves, as if afraid to come farther.""",-0.75,-1,-2,0
"80","79,""But the little old woman walked up to Dorothy, made a low bow and said, in a sweet voice:""",0.75,1,2,1
"81","80,""You are welcome, most noble Sorceress, to the land of the Munchkins.""",1.25,2,4,2
"82","81,""We are so grateful to you for having killed the Wicked Witch of the East, and for setting our people free from bondage.""",-0.65,-1,-1,-2
"83","82,Dorothy listened to this speech with wonder.",0.25,1,0,1
"84","83,""What could the little woman possibly mean by calling her a sorceress, and saying she had killed the Wicked Witch of the East?""",-1.65,-2,-5,-2
"85","84,""Dorothy was an innocent, harmless little girl, who had been carried by a cyclone many miles from home; and she had never killed anything in all her life.""",0.85,0,-3,0
