,sent_no,parag_no,chap_no,sect_no,sent_raw,sent_clean,token_len,char_len,sentimentr,sentimentr_lnorm_meanstd,sentimentr_medianiqr,sentimentr_lnorm_medianiqr,syuzhet,syuzhet_lnorm_meanstd,syuzhet_medianiqr,syuzhet_lnorm_medianiqr,bing,bing_lnorm_meanstd,bing_medianiqr,bing_lnorm_medianiqr,senticnet,senticnet_lnorm_meanstd,senticnet_medianiqr,senticnet_lnorm_medianiqr,sentiword,sentiword_lnorm_meanstd,sentiword_medianiqr,sentiword_lnorm_medianiqr,nrc,nrc_lnorm_meanstd,nrc_medianiqr,nrc_lnorm_medianiqr,afinn,afinn_lnorm_meanstd,afinn_medianiqr,afinn_lnorm_medianiqr,scores,vader,vader_lnorm_meanstd,vader_medianiqr,vader_lnorm_medianiqr,textblob,textblob_lnorm_meanstd,textblob_medianiqr,textblob_lnorm_medianiqr,pattern,pattern_lnorm_meanstd,pattern_medianiqr,pattern_lnorm_medianiqr,stanza,stanza_lnorm_meanstd,stanza_medianiqr,stanza_lnorm_medianiqr
0,0,0,0,0,"""Yes, of course, if it's fine tomorrow,"" said Mrs. Ramsay.",yes of course if it is fine tomorrow said mrs ramsay,11,58,1.05,1.156453224665474,1.1052631578947367,2.1443661971830985,1.05,1.1789410327600143,1.3125000000000004,2.249743570261748,29.429982966380244,0.763926940646156,1.544631255726404,10.501174868702034,-0.7019999999999998,-0.8707731850969136,-0.6305309734513272,-0.8989676989676989,0.25,0.33639275556410736,0.37974683544303817,0.5587583148558759,0.0,-0.07886112564743694,0.0,0.0,1.20101112030975,0.21743450940945613,3.372499517911784,9.597160418545492,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.5423}",0.5423,1.168518768807915,1.3848314606741574,3.701679315356047,0.4166666666666667,0.9841142377984973,3.1746031746031744,9.337944664031621,0.17304185583720652,0.3915983993166496,1.6396420979860988,4.106337640397782,4.804044481239,-0.019249956087897913,0.0,0.34035169859326003
1,1,0,0,0,"""But you'll have to be up with the lark,"" she added.",but you will have to be up with the lark she added,12,52,0.0,-0.04175737494821854,0.0,0.0,0.0,-0.04639413074845684,0.0,0.0,0.0,0.012196301966798016,0.0,0.0,0.713,0.47298609938879965,0.4129793510324483,0.5455433455433456,-0.34375,-0.6747666300816247,-0.5221518987341774,-0.7042682926829269,0.0,-0.07886112564743694,0.0,0.0,0.0,0.028794981204361764,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.050595851322704374,0.0,0.0,0.0,-0.1386755452869039,0.0,0.0,0.0,-0.12192576105176893,0.0,0.0,4.642333989501776,-0.10930929284196124,-0.037424136883994576,0.08647141408187313
2,2,1,0,0,"To her son these words conveyed an extraordinary joy, as if it were settled, the expedition were bound to take place, and the wonder to which he had looked forward, for years and years it seemed, was, after a night's darkness and a day's sail, within touch.",to her son these words conveyed an extraordinary joy as if it were settled the expedition were bound to take place and the wonder to which he had looked forward for years and years it seemed was after a night own darkness and a day own sail within touch,49,257,2.7,0.6499210469862162,2.8421052631578947,1.2378557056625468,1.7000000000000002,0.3989657829076834,2.125000000000001,0.8176910546918309,40.88457625421077,0.24663448491911855,2.1458250394342944,3.274944811891807,3.0150000000000006,0.4960366734153104,2.110619469026549,0.5703221948119909,-0.229166666666667,-0.20299368620985997,-0.3481012658227855,-0.11498257839721274,7.198480678129749,0.11497506395527139,0.9570982477949735,0.6118026973415482,0.5010245578806798,0.04646110589992831,1.4069021105139887,0.8987757459457087,"{'neg': 0.039, 'neu': 0.886, 'pos': 0.075, 'compound': 0.4215}",0.4215,0.16211963999867496,1.0763534218590398,0.6458822831570865,0.5833333333333334,0.21420124368279364,4.444444444444445,2.9347826086956523,0.5980114805551656,0.27647104106188897,5.666402465769313,3.185734792224257,13.026638504897674,-0.32784094572137656,1.9029283813134559,-0.5295766294350184
3,3,1,0,0,"Since he belonged, even at the age of six, to that great clan which cannot keep this feeling separate from that, but must let future prospects, with their joys and sorrows, cloud what is actually at hand, since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests, James Ramsay, sitting on the floor cutting out pictures from the illustrated catalogue of the Army and Navy stores, endowed the picture of a refrigerator, as his mother spoke, with heavenly bliss.",since he belonged even at the age of six to that great clan which cannot keep this feeling separate from that but must let future prospects with their joys and sorrows cloud what is actually at hand since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests james ramsay sitting on the floor cutting out pictures from the illustrated catalogue of the army and navy stores endowed the picture of a refrigerator as his mother spoke with heavenly bliss,100,577,4.4,0.5105606538260932,4.631578947368421,0.9884507042253522,4.4,0.518427030335448,5.500000000000002,1.037024655244463,53.52201450545526,0.16257882856529846,2.8091003847677873,2.1007434415370088,2.486,0.09617838432173809,1.7205014749262537,0.14048351648351654,0.28125000000000044,-0.05558294729542709,0.4272151898734186,0.06914634146341475,13.693780863428486,0.10182028575428632,1.8207027643895706,0.5702824383909977,2.1253216365647756,0.06551501072186397,5.968009848962597,1.8681557211595974,"{'neg': 0.079, 'neu': 0.693, 'pos': 0.228, 'compound': 0.9631}",0.9631,0.1875642482001758,2.4593973442288046,0.7231414500242208,0.011111111111111127,-0.13538202858985338,0.08465608465608478,0.027391304347826124,0.01444511556021713,-0.11721030802801596,0.13687335626525032,0.03770658468936017,22.103345020273665,-0.4087736793822665,4.003521258362291,-0.7577287143678889
4,4,1,0,0,It was fringed with joy.,it was fringed with joy,5,24,0.75,1.841144995873298,0.7894736842105262,3.3697183098591545,0.75,1.879132554764855,0.9375000000000002,3.535311324697033,38.322429333725495,2.165711561752368,2.0113508802183104,30.083169637937946,0.889,1.7638442069036735,0.5427728613569321,1.9331868131868137,0.125,0.3811260740074209,0.18987341772151908,0.6146341463414635,8.613681450752807,2.194188424960319,1.1452610338493683,7.174397356361304,1.754962832038892,0.6352188361720031,4.928023733433714,30.85221360090343,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.5859}",0.5859,2.847088756930966,1.4961695607763024,8.798433715485224,0.8,4.603988498465831,6.095238095238095,39.44347826086957,0.4939985620057258,3.1032848691143538,4.6808376776263545,25.790030598289032,3.509925664077784,0.45976569642435494,-0.29949373870122403,1.690712855230708
5,5,1,0,0,"The wheelbarrow, the lawnmower, the sound of poplar trees, leaves whitening before rain, rooks cawing, brooms knocking, dresses rustling - ”all these were so coloured and distinguished in his mind that he had already his private code, his secret language, though he appeared the image of stark and uncompromising severity, with his high forehead and his fierce blue eyes, impeccably candid and pure, frowning slightly at the sight of human frailty, so that his mother, watching him guide his scissors neatly round the refrigerator, imagined him all red and ermine on the Bench or directing a stern and momentous enterprise in some crisis of public affairs.",the wheelbarrow the lawnmower the sound of poplar trees leaves whitening before rain rooks cawing brooms knocking dresses rustling   ”all these were so coloured and distinguished in his mind that he had already his private code his secret language though he appeared the image of stark and uncompromising severity with his high forehead and his fierce blue eyes impeccably candid and pure frowning slightly at the sight of human frailty so that his mother watching him guide his scissors neatly round the refrigerator imagined him all red and ermine on the bench or directing a stern and momentous enterprise in some crisis of public affairs,105,656,-0.25,-0.07164471416760769,-0.2631578947368421,-0.05348759221998659,-0.25,-0.07695804639152527,-0.31250000000000006,-0.05611605277296878,-17.686717593839145,-0.03513221195356508,-0.9282865313873544,-0.6611477241724121,7.172000000000001,0.5699023584212615,5.176253687315635,0.6497261468690042,0.5625,-0.005497606824074388,0.8544303797468359,0.13170731707317074,-13.64818760396401,-0.25036573047522925,-1.8146407589892797,-0.5413178006398118,-0.2103509340305846,0.02533372693997667,-0.5906759826066208,-0.17609359364259342,"{'neg': 0.059, 'neu': 0.919, 'pos': 0.022, 'compound': -0.6249}",-0.6249,-0.1977657008580321,-1.5957609805924413,-0.44686166409079375,0.031355311355311354,-0.129823896016338,0.23889761032618173,0.07361681796464406,0.24820516486165015,-0.04476012904748843,2.3518450797684847,0.6170462145674499,22.928251809333723,-0.41359382987987375,4.194426772646952,-0.771316879946568
6,6,2,0,0,"""But,"" said his father, stopping in front of the drawing-room window, ""it won't be fine.""",but said his father stopping in front of the drawing room window it will not be fine,17,89,-0.15000000000000002,-0.15251633793771954,-0.15789473684210528,-0.1982187241093621,-0.15000000000000002,-0.15966040636688697,-0.18750000000000008,-0.2079594896880608,26.087773109487912,0.443370747031536,1.3692155304081053,6.023218974412016,-0.6210000000000001,-0.5732149978438784,-0.5707964601769913,-0.5790993320405087,0.25,0.17851045517594205,0.37974683544303817,0.3615494978479197,0.0,-0.07886112564743694,0.0,0.0,0.34092303651433087,0.06344358865061853,0.9573290012444429,1.762770757035618,"{'neg': 0.202, 'neu': 0.798, 'pos': 0.0, 'compound': -0.4191}",-0.4191,-0.6602258922447214,-1.0702247191011236,-1.8510604952460554,0.4166666666666667,0.5878354908271792,3.1746031746031744,6.042199488491049,0.14654780216817537,0.15947987435144342,1.3886001432412622,2.250228211360571,5.795691620743625,-0.19226788425728553,0.22949369512615345,-0.14739163166431005
7,7,3,0,0,"Had there been an axe handy, a poker, or any weapon that would have gashed a hole in his father's breast and killed him, there and then, James would have seized it.",had there been an axe handy a poker or any weapon that would have gashed a hole in his father own breast and killed him there and then james would have seized it,33,164,-2.0,-0.8025260096235788,-2.1052631578947367,-1.3615023474178403,-2.0,-0.8243847107538355,-2.5000000000000004,-1.4284086160392053,0.0,0.012196301966798016,0.0,0.0,1.0529999999999997,0.1730420432034166,0.6637168141592917,0.22311022311022305,-0.4583333333333333,-0.38431070824483227,-0.69620253164557,-0.34146341463414637,7.40932419328296,0.2173864182750863,0.9851316576122937,0.9350423510908517,-1.1121900709612287,-0.029434568523261852,-3.1230855524265597,-2.9624667488994696,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.7964}",-0.7964,-0.6473767742264017,-2.033707865168539,-1.8120458582270305,0.3333333333333333,0.16073506353586972,2.5396825396825395,2.4901185770750986,0.2851840420905248,0.1601811220035152,2.7022350102704067,2.255835658587352,9.175568085430136,-0.3058133105521563,1.011687590565923,-0.467479988648661
8,8,3,0,0,"Such were the extremes of emotion that Mr. Ramsay excited in his children's breasts by his mere presence; standing, as now, lean as a knife, narrow as the blade of one, grinning sarcastically, not only with the pleasure of disillusioning his son and casting ridicule upon his wife, who was ten thousand times better in every way than he was (James thought), but also with some secret conceit at his own accuracy of judgement.",such were the extremes of emotion that mr ramsay excited in his children own breasts by his mere presence standing as now lean as a knife narrow as the blade of one grinning sarcastically not only with the pleasure of disillusioning his son and casting ridicule upon his wife who was ten thousand times better in every way than he was james thought but also with some secret conceit at his own accuracy of judgement,75,425,1.05,0.1339801796617897,1.1052631578947367,0.3145070422535211,1.05,0.13332169323278562,1.3125000000000004,0.3299623903050564,0.0,0.012196301966798016,0.0,0.0,3.5360000000000005,0.33919337254768334,2.4948377581120944,0.4017191697191699,2.3541666666666665,0.506876402520291,3.5759493670886093,0.7717073170731709,6.98446537598003,0.044013442947305824,0.9286431223528607,0.38782743642981904,1.81098393349061,0.07051377008438747,5.085333798631178,2.122470900763342,"{'neg': 0.065, 'neu': 0.838, 'pos': 0.097, 'compound': 0.3716}",0.3716,0.0719255801419442,0.9489274770173646,0.3720200226061682,0.09749999999999999,-0.10014139993141294,0.7428571428571428,0.3204782608695652,0.22530391174275355,-0.02386170080830122,2.134846374289365,0.7841581230746548,17.657093351533447,-0.38277905922566374,2.9745395931403755,-0.6844490101308267
9,9,3,0,0,What he said was true.,what he said was true,5,22,0.0,-0.04175737494821854,0.0,0.0,0.5,1.2372903262604178,0.6250000000000001,2.3568742164646888,0.0,0.012196301966798016,0.0,0.0,0.0,-0.1748963662300268,-0.11283185840707964,-0.15091575091575096,0.0,-0.11094042886902764,0.0,0.0,0.0,-0.07886112564743694,0.0,0.0,1.1699752213592611,0.4330775511827893,3.285349155622476,20.568142400602284,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,2.034015963626813,1.0763534218590398,6.329646374939447,0.35,1.9362399738549172,2.6666666666666665,17.256521739130434,0.21612437087750502,1.2891038896459097,2.04786648396153,11.283138386751451,3.509925664077784,0.45976569642435494,-0.29949373870122403,1.690712855230708
