"","sent_raw","jockers_rinker","jockers","huliu","lmcd","nrc","senticnet","sentiword"
"1","0,CANTO ONE",0,0,0,0,0,-0.537401153701776,0
"2","1,""I was the shadow of the waxwing slain by the false azure in the windowpane; i was the smudge of ashen fluffand i lived on, flew on, in the reflected sky.""",-0.242467157736146,-0.242467157736146,-0.35921060405355,0,0,-0.135961213634269,-0.220764850407911
"3","2,""and from the inside, too, id duplicate myself, my lamp, an apple on a plate: uncurtaining the night, id let dark glass hang all the furniture above the grass, and how delightful when a fall of snow""",-0.0575396455568751,-0.0575396455568751,-0.328797974610715,0.164398987305357,0,0.149109881485959,-0.0707828973120288
"4","3,""Covered my glimpse of lawn and reached up so as to make chair and bed exactly stand upon that snow, out in that crystal land! retake the falling snow: each drifting flake shapeless and slow, unsteady and opaque, a dull dark white against the days pale white and abstract larches in the neutral light.""",-0.455877257684647,-0.319794494196693,-0.95257934441568,-0.272165526975909,0,-0.583658972599836,-0.0324816596182558
"5","4,""and then the gradual and dual blue as night unites the viewer and the view, and in the morning, diamonds of frost""",-0.0533001790889026,-0.0533001790889026,-0.21320071635561,0,0,-0.0140712472794703,-0.248734169081546
"6","5,Express amazement: whose spurred feet have crossed from left to right the blank page of the road?",0.388057000058133,0.388057000058133,0.485071250072666,0,0,0.723726305108418,-0.288011054730645
"7","6,""reading from left to right in winters code: a dot, an arrow pointing back; repeat: dot, arrow pointing back a pheasants feet! torquated beauty, sublimated grouse, finding your china right behind my house.""",0.208893187146837,0.382970843102535,0.348155311911396,0,0.348155311911396,1.12506389044168,0.152317948961236
"8","7,""was he in sherlock holmes, the fellow whose tracks pointed back when he reversed his shoes?""",0.1,0.1,0,0,0.25,0.35025,0.0625
"9","8,all colors made me happy: even gray.",0.28347335475692,0.28347335475692,0.377964473009227,0.377964473009227,0.377964473009227,-0.110365626118694,0.322844654028715
"10","9,My eyes were such that literally they took photographs.",0,0,0,0,0,0.180333333333333,0
"11","10,""whenever id permit, or, with a silent shiver, order it, whatever in my field of vision dwelt an indoor scene, hickory leaves, the svelte stilettos of a frozen stillicide was printed on my eyelids nether side where it would tarry for an hour or two, and while this lasted all i had to do was close my eyes to reproduce the leaves,""",0.0952500952501429,-0.0317500317500476,-0.127000127000191,0,-0.254000254000381,0.0595630595630893,-0.176212676212764
"12","11,""Or indoor scene, or trophies of the eaves.""",0,0,0,0,0,0.0173241161390704,-0.110485434560398
"13","12,""i cannot understand why from the lake i could make out our front porch when id take lake road to school, whilst now, although no tree has intervened, i look but fail to see even the roof.""",-0.441822278383148,-0.27742329107779,-0.534296708742411,-0.369897721437054,-0.369897721437054,-0.429770024224805,-0.0827063905302035
"14","13,""maybe some quirk in space has caused a fold or furrow to displace the fragile vista, the frame house between goldsworth and wordsmith on its square of green.""",-0.188982236504614,-0.188982236504614,-0.377964473009227,-0.188982236504614,-0.188982236504614,0.295568217893216,0.0590569489076918
"15","14,i had a favorite young shagbark there",0.434659143960611,0.434659143960611,0.377964473009227,0.377964473009227,0.755928946018454,0.406689772957929,-0.0472455591261534
"16","15,""With ample dark jade leaves and a black, spare, vermiculated trunk.""",0.0452267016866646,0.0452267016866646,0,0,-0.301511344577764,-0.215580611373101,-0.304652087750449
"17","16,""the setting sun bronzed the black bark, around which, like undone garlands, the shadows of the foliage fell.""",-0.0353553390593274,-0.0353553390593274,-0.235702260395516,0,-0.471404520791032,-0.520430590953299,-0.0810226520109586
"18","17,it is now stout and rough; it has done well.",0.173925271309261,0.173925271309261,0,0,0,0.021503488089145,0.0136294167153257
"19","18,white butterflies turn lavender as they pass through its shade where gently seems to sway the phantom of my little daughters swing.",-0.106600358177805,-0.106600358177805,0,0,-0.21320071635561,0.0515519332147866,-0.0230967442718578
"20","19,the house itself is much the same.",0,0,0,0,0,0.345913085698045,-0.255126019281228
"21","20,one wing weve had revamped.",0,0,0,0,0,0.0406964371904962,0
"22","21,theres a solarium.",0,0,0,0,0,0,0
"23","22,theres",0,0,0,0,0,0,0
"24","23,A picture window flanked with fancy chairs.",0.188982236504614,0.188982236504614,0.377964473009227,0,0.377964473009227,0.278181852134791,0
